epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.3421,1.81963,2.00264,1.39462,0.68667,0.52857,0.63237,0.44534,1.15082,0.85465,0.96991,0.0003334,0.0003334,0.0003334
2,18.9567,1.13779,0.85781,0.92012,0.66481,0.58594,0.72946,0.52013,1.07094,0.79956,0.92576,0.000680087,0.000680087,0.000680087
3,23.6573,1.08702,0.78671,0.90335,0.84836,0.74187,0.82044,0.63206,0.98382,0.65634,0.89747,0.00102331,0.00102331,0.00102331
4,28.237,1.03102,0.73331,0.89483,0.74262,0.6381,0.7753,0.5708,1.0549,0.72489,0.91301,0.00136306,0.00136306,0.00136306
5,32.3264,1.00378,0.70134,0.89353,0.90777,0.6653,0.77823,0.5808,1.03007,0.73224,0.91257,0.00163399,0.00163399,0.00163399
6,37.5921,1.02807,0.77079,0.89263,0.78027,0.75773,0.80045,0.5942,0.98814,0.68724,0.90301,0.00162574,0.00162574,0.00162574
